,organic_data1_rdkit_Chi1v,organic_data1_rdkit_MinAbsEStateIndex,organic_data1_rdkit_MinEStateIndex,organic_data1_rdkit_NumValenceElectrons,organic_data1_rdkit_SlogP_VSA2,organic_data1_rdkit_qed,organic_data2_rdkit_BalabanJ,organic_data2_rdkit_Chi2n,organic_data2_rdkit_FpDensityMorgan1,organic_data2_rdkit_MinAbsPartialCharge,organic_data2_rdkit_MolLogP,organic_data2_rdkit_VSA_EState7,organic_data3_rdkit_Chi0,organic_data3_rdkit_MaxEStateIndex,organic_data3_rdkit_MinEStateIndex,Time,ratioA,ratioC,ratioD,output
organic_data1_rdkit_Chi1v,1.0,0.27373882673215333,0.33001014998608597,0.9525557935822891,-0.3719716407295974,0.6649143705555767,-0.06153056047253077,-0.07422300284692868,0.20107915109998334,-0.09870467653542468,-0.25875822541992644,-0.16646370150262502,-0.38125479647689753,0.348603424528676,-0.3325925391669257,-0.049372806581912856,-0.10816309616020883,0.10816309616020925,0.10816309616020928,0.37981860082203056
organic_data1_rdkit_MinAbsEStateIndex,0.27373882673215333,1.0,0.9388543283451142,0.043101144998334145,-0.7673167613061038,0.15830184821579307,0.1509218938181803,0.16228877530657373,0.10044183939074772,-0.09161695775878961,0.09212433567261452,-0.08499560791943604,-0.44857883125733594,0.2850758770749808,-0.0546406258588799,-0.02442584750460937,-0.23127897417784804,0.23127897417784743,0.23127897417784743,0.20625586180231154
organic_data1_rdkit_MinEStateIndex,0.33001014998608597,0.9388543283451142,1.0,0.08393185782981752,-0.7812101305575891,0.18074077480612624,0.12885196380920347,0.10225347908629412,0.19178839559594735,0.0458233660190817,-0.021310689835445193,-0.11960974004771162,-0.421351178863381,0.2447811093157159,-0.040679332343566084,-0.04163423588023044,-0.13225828151832544,0.13225828151832475,0.13225828151832472,0.2967180057340433
organic_data1_rdkit_NumValenceElectrons,0.9525557935822891,0.043101144998334145,0.08393185782981752,1.0,-0.14688038851039015,0.6567961572289787,-0.17568342726829145,-0.12305891900210097,0.11130903268219454,-0.16130836449180755,-0.275156329408692,-0.12779542348336959,-0.30149830600729116,0.3078697154297959,-0.3268941810474399,-0.04611757305833909,-0.1390263014457492,0.13902630144574984,0.13902630144574976,0.25790233112414485
organic_data1_rdkit_SlogP_VSA2,-0.3719716407295974,-0.7673167613061038,-0.7812101305575891,-0.14688038851039015,1.0,-0.41630960725628174,-0.2049428400870722,0.004317556802677109,-0.2887116853258661,-0.12430289011776971,0.2531059166150047,0.36276903420694656,0.2882492837028015,-0.06843454434479992,-0.13070760980449606,0.04381044039719474,0.15831513943778044,-0.15831513943778022,-0.15831513943778017,-0.3697204452423046
organic_data1_rdkit_qed,0.6649143705555767,0.15830184821579307,0.18074077480612624,0.6567961572289787,-0.41630960725628174,1.0,-0.17713212533117356,-0.2715360271268184,0.11763901350956352,-0.2130571350822948,-0.4031758901751598,-0.290404713478719,-0.34120144293425136,0.14535987136394918,-0.08200170221838293,-0.01049619895624379,-0.0051676371571585476,0.0051676371571591625,0.005167637157159221,0.40412425918414074
organic_data2_rdkit_BalabanJ,-0.06153056047253077,0.1509218938181803,0.12885196380920347,-0.17568342726829145,-0.2049428400870722,-0.17713212533117356,1.0,0.6078919618834878,-0.1827997772306634,0.29108151225392276,0.373660886228151,-0.012855198268808187,0.1487544479361053,-0.18889316555564928,0.23135614492184256,0.0017708283035423426,0.021096863041713654,-0.021096863041713338,-0.021096863041713435,-0.07172980035192515
organic_data2_rdkit_Chi2n,-0.07422300284692868,0.16228877530657373,0.10225347908629412,-0.12305891900210097,0.004317556802677109,-0.2715360271268184,0.6078919618834878,1.0,-0.48517216087004333,0.16023417904585913,0.6419672567757416,0.5545265655651327,-0.06448790915619068,0.03782830864271904,0.022510622001621378,-0.050395895368441905,-0.2218772172039656,0.22187721720396544,0.2218772172039654,-0.008430494869891576
organic_data2_rdkit_FpDensityMorgan1,0.20107915109998334,0.10044183939074772,0.19178839559594735,0.11130903268219454,-0.2887116853258661,0.11763901350956352,-0.1827997772306634,-0.48517216087004333,1.0,0.4912387515561312,-0.7083696817842833,-0.48773101086585396,-0.06423613254021895,0.05874100814832762,0.03293001678731732,0.05031598156208055,0.03773201713329182,-0.037732017133291364,-0.037732017133291364,0.28442043234724623
organic_data2_rdkit_MinAbsPartialCharge,-0.09870467653542468,-0.09161695775878961,0.0458233660190817,-0.16130836449180755,-0.12430289011776971,-0.2130571350822948,0.29108151225392276,0.16023417904585913,0.4912387515561312,1.0,-0.28321663804416747,-0.04074025397735886,0.1562899057709821,-0.31273174405506216,0.2564211292631927,0.06045006032288915,-0.10418429804567432,0.10418429804567424,0.10418429804567428,0.2546408508349002
organic_data2_rdkit_MolLogP,-0.25875822541992644,0.09212433567261452,-0.021310689835445193,-0.275156329408692,0.2531059166150047,-0.4031758901751598,0.373660886228151,0.6419672567757416,-0.7083696817842833,-0.28321663804416747,1.0,0.7211645746760021,0.05737719931132598,0.029778232897131524,-0.09708743756543062,-0.011671383496251068,-0.04853182577867359,0.04853182577867335,0.048531825778673356,-0.1631824707477951
organic_data2_rdkit_VSA_EState7,-0.16646370150262502,-0.08499560791943604,-0.11960974004771162,-0.12779542348336959,0.36276903420694656,-0.290404713478719,-0.012855198268808187,0.5545265655651327,-0.48773101086585396,-0.04074025397735886,0.7211645746760021,1.0,0.0011638217908133991,-0.09092168214583769,-0.059194494998734505,-0.0062168348202895195,-0.0032092472246740876,0.003209247224673743,0.0032092472246736717,0.16631857531484548
organic_data3_rdkit_Chi0,-0.38125479647689753,-0.44857883125733594,-0.421351178863381,-0.30149830600729116,0.2882492837028015,-0.34120144293425136,0.1487544479361053,-0.06448790915619068,-0.06423613254021895,0.1562899057709821,0.05737719931132598,0.0011638217908133991,1.0,-0.419067299473653,0.40284204061775525,0.04659902563842392,-0.12499816880892829,0.12499816880892797,0.12499816880892797,-0.33003749945519884
organic_data3_rdkit_MaxEStateIndex,0.348603424528676,0.2850758770749808,0.2447811093157159,0.3078697154297959,-0.06843454434479992,0.14535987136394918,-0.18889316555564928,0.03782830864271904,0.05874100814832762,-0.31273174405506216,0.029778232897131524,-0.09092168214583769,-0.419067299473653,1.0,-0.8382440099086599,-0.011169090456142379,-0.05989735753008307,0.059897357530083406,0.059897357530083475,-0.016822101003638814
organic_data3_rdkit_MinEStateIndex,-0.3325925391669257,-0.0546406258588799,-0.040679332343566084,-0.3268941810474399,-0.13070760980449606,-0.08200170221838293,0.23135614492184256,0.022510622001621378,0.03293001678731732,0.2564211292631927,-0.09708743756543062,-0.059194494998734505,0.40284204061775525,-0.8382440099086599,1.0,0.0013932000742493437,-0.07896691018791403,0.07896691018791376,0.07896691018791373,-0.09783355837641483
Time,-0.049372806581912856,-0.02442584750460937,-0.04163423588023044,-0.04611757305833909,0.04381044039719474,-0.01049619895624379,0.0017708283035423426,-0.050395895368441905,0.05031598156208055,0.06045006032288915,-0.011671383496251068,-0.0062168348202895195,0.04659902563842392,-0.011169090456142379,0.0013932000742493437,1.0,-0.05212463160391731,0.05212463160391758,0.05212463160391757,-0.16337796007517455
ratioA,-0.10816309616020883,-0.23127897417784804,-0.13225828151832544,-0.1390263014457492,0.15831513943778044,-0.0051676371571585476,0.021096863041713654,-0.2218772172039656,0.03773201713329182,-0.10418429804567432,-0.04853182577867359,-0.0032092472246740876,-0.12499816880892829,-0.05989735753008307,-0.07896691018791403,-0.05212463160391731,1.0,-1.0000000000000004,-1.0000000000000009,0.3369005691998596
ratioC,0.10816309616020925,0.23127897417784743,0.13225828151832475,0.13902630144574984,-0.15831513943778022,0.0051676371571591625,-0.021096863041713338,0.22187721720396544,-0.037732017133291364,0.10418429804567424,0.04853182577867335,0.003209247224673743,0.12499816880892797,0.059897357530083406,0.07896691018791376,0.05212463160391758,-1.0000000000000004,1.0,1.0000000000000007,-0.33690056919986
ratioD,0.10816309616020928,0.23127897417784743,0.13225828151832472,0.13902630144574976,-0.15831513943778017,0.005167637157159221,-0.021096863041713435,0.2218772172039654,-0.037732017133291364,0.10418429804567428,0.048531825778673356,0.0032092472246736717,0.12499816880892797,0.059897357530083475,0.07896691018791373,0.05212463160391757,-1.0000000000000009,1.0000000000000007,1.0,-0.33690056919985983
output,0.37981860082203056,0.20625586180231154,0.2967180057340433,0.25790233112414485,-0.3697204452423046,0.40412425918414074,-0.07172980035192515,-0.008430494869891576,0.28442043234724623,0.2546408508349002,-0.1631824707477951,0.16631857531484548,-0.33003749945519884,-0.016822101003638814,-0.09783355837641483,-0.16337796007517455,0.3369005691998596,-0.33690056919986,-0.33690056919985983,1.0
