,A nN,A Sv,A Spe,A Mv,A Mse,A ETA_dEpsilon_A,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A Bandgap,B Si,B Mse,B Mp,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Time（s),Potential (v)
0,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,311.7568365,1.002078411,0.671287673,7.603825281,0.02879,1.35227,67.05,-4.583,1.984,15,
1,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,311.7568365,1.002078411,0.671287673,7.603825281,0.02879,1.35227,67.05,-4.583,1.984,35,
2,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,311.7568365,1.002078411,0.671287673,7.603825281,0.02879,1.35227,67.05,-4.583,1.984,55,
3,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,311.7568365,1.002078411,0.671287673,7.603825281,0.02879,1.35227,67.05,-4.583,1.984,75,
4,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,311.7568365,1.002078411,0.671287673,7.603825281,0.02879,1.35227,67.05,-4.583,1.984,95,
5,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,240.7094084,0.993160506,0.728201759,7.522169012,0,1.33333,94.04,-4.452,1.203,15,
6,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,240.7094084,0.993160506,0.728201759,7.522169012,0,1.33333,94.04,-4.452,1.203,35,
7,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,240.7094084,0.993160506,0.728201759,7.522169012,0,1.33333,94.04,-4.452,1.203,55,
8,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,240.7094084,0.993160506,0.728201759,7.522169012,0,1.33333,94.04,-4.452,1.203,75,
9,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,240.7094084,0.993160506,0.728201759,7.522169012,0,1.33333,94.04,-4.452,1.203,95,
10,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,204.2098084,1.028054274,0.694476159,7.563326236,0.04118,1.55882,52.05,-5.023,1.823,15,
11,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,204.2098084,1.028054274,0.694476159,7.563326236,0.04118,1.55882,52.05,-5.023,1.823,35,
12,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,204.2098084,1.028054274,0.694476159,7.563326236,0.04118,1.55882,52.05,-5.023,1.823,55,
13,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,204.2098084,1.028054274,0.694476159,7.563326236,0.04118,1.55882,52.05,-5.023,1.823,75,
14,3,24.96308264,38.69411765,0.608855674,0.983212833,0.08646,0.015,1.3375,0.317073171,2.983,204.2098084,1.028054274,0.694476159,7.563326236,0.04118,1.55882,52.05,-5.023,1.823,95,
